SBD, Toan, Van, Ly, Hoa, Sinh, Anh
19000991,8.2,5,8.25,7.5,7.25,9.4
19000992,9.2,4.25,8.25,4.25,4,9.2
19000993,9.4,5.5,2.5,9.25,9.75,3.6
19000997,8.2,8,7.75,8,6,6.8
19000998,8,8,8.75,9,5.25,8
19000999,9.2,7,8.25,7.25,6.5,10
19001001,8.2,6.25,7,6,5.75,9.2
19001002,9.2,8,8.75,5.25,3.25,9.6
19001004,9.4,7.5,8.25,4,3,9.8
19001006,8.2,4,7,5.5,2.75,8.2
19001007,8.8,8,8.25,4.25,4.75,9
19001008,9.8,7,8.75,8.25,4.25,6.6
19001014,8.8,7.5,7,5.5,5.75,9.4
19001018,7.4,6,5.25,7.75,7.5,5.4
19001019,8,6.75,7,5.75,6,8.6
19001029,7.6,7.75,7.25,8.25,4,6.8
19001032,8.8,4.5,7.75,7.75,2.25,6.4
19001033,8.8,4.5,8.25,4,4.75,9.6
19001034,6.4,6.5,5.5,5,8,8.8
19001035,9.4,6.5,8.25,9.25,6,9.2
19001036,8.4,7.25,3.5,8.5,8.75,7.6
19001038,8.8,7.25,8.25,4,4.75,9.8
19001039,9.2,7,8.5,9.5,8.25,7.6
19001041,7.6,5.5,6,4.5,3.5,7.2
19001042,7.6,5.5,5.75,5.5,5.25,9.6
19001044,7.6,5.5,7.5,4.25,5.25,8.2
19001046,9.2,6,9.25,8.75,6,7.2
19001047,9.2,8.5,9,9.5,8.25,9.4
19001048,8.2,3.75,8.25,5.25,6.75,7.4
19001053,8.2,5.5,6.5,4.5,3.5,9
19001054,7.4,7,6.25,4.5,4,8.8
19001056,8.2,7.5,7.25,3.75,5,9.8
19001057,8.6,7.25,8.75,5.5,7.75,10
19001058,9,5.75,8.25,3,4.5,10
19001059,7.2,5.75,4.25,4,3,10
19001061,8.2,7.25,8,6,6,9.2
19001062,8,6.75,7.75,2.75,5.75,9.4
19001063,8,6.25,6,1.75,4.75,8.8
19001064,8.4,6.75,8.5,5.75,4,9.8
19001066,7.4,7.5,8.25,4.25,2.75,9.4
19001070,7.4,7.75,7.25,4.5,2,8.8
19001071,9.4,9,8.75,9.25,5,8.6
19001072,8.6,5.75,7.5,5.5,3.5,8.6
19001073,9,6,7.5,5.75,4,9.6
19001076,7.2,4.5,6.5,5.75,3.5,9.4
19001077,8,6.75,8.75,7.25,5,7
19001083,8.4,7.5,8.25,7.5,4.25,9.8
19001084,7.2,2.25,3,3.25,5,6.4
19001087,8.8,5.25,5.75,8.5,9.5,8.6
19001090,8.6,6,8,4,6.5,9.6
19001091,8.4,5.75,7.75,2.75,4.25,8.8
19001092,9,6.75,7.25,4.75,5.25,9
19001093,7.2,4,4.5,5.75,3.5,6.4
19001094,8,4.25,5,2.5,3.5,8.6
19001096,8.4,4.75,8.25,8.75,5.75,5.8
19001097,9,7.25,8,9.5,2.25,6
19001098,9.2,5.5,8.25,8.25,4.5,6
19001099,8.2,3.5,7.5,5.25,5.75,9.8
19001100,5.8,5.5,5.25,4.5,5.5,8.6
19001101,8.4,4.5,8,8.25,2.75,4.8
19001102,7.4,5.5,7,3.25,2.25,8.8
19001105,8,5.75,6.75,7.75,4.25,7.4
19001107,8.8,6.75,8.5,4,4.75,9.2
19001108,8,6,3,4,2.25,8.6
19001109,8.6,6.25,8,3.75,2.5,9
19001110,7.6,5,6,8.25,3,6.2
19001112,8.8,5,2,8.5,8.25,5.8
19001113,9,5,8.25,6.5,6,9.4
19001114,8.4,6,8.5,2,3.75,9.6
19001115,8.6,6.5,6,3.25,4.5,9.2
19001118,9,7,8.75,9.5,4.75,5.6
19001119,8.8,7.75,6.75,8.5,5,4.8
19001125,8,6.5,6.75,4.25,5.25,9.6
19001127,8.4,7.25,8,3.75,3.5,8.8
19001128,8,5.5,8,7.75,3,7.4
19001130,8.8,7.25,6,9,10,5.8
